product,protein,fat,carbs,calories,price,weight_per_100g,full_package_weight,is_promo,category
"""რეგია"" ვერმიშელი",12,1.5,71,350,4.1,,500.0,0,მაკარონი
"""პასტა დი რიზი"" ვერმიშელი",12,1.5,71,350,0.99,,400.0,0,მაკარონი
"""დონა კიარა"" სპაგეტი",12,1.5,71,350,3.5,,500.0,0,მაკარონი
"""პასტა დი როზი"" სპაგეტი",12,1.5,71,350,0.99,,400.0,0,მაკარონი
"""დონა კიარა: ლაზანიას ფირფიტები",12,1.5,71,350,6.5,,500.0,0,მაკარონი
"მანანის ბურღულეული ""სონიშკო""",10,2.5,72,355,2.9,,500.0,0,მარცვლეული და ბურღულეული
"მანანის ბურღულეული ""ალტაისკაია სკაზა""",10,2.5,72,355,2.6,,700.0,0,მარცვლეული და ბურღულეული
"ბრინჯი ბასმათი ""ლალქილა""",7,1,78,350,8.95,,1000,0,მარცვლეული და ბურღულეული
"ბრინჯი გრძელი ""ზოგე""",3.2,3.2,4.8,60,2.5,,1000,0,მარცვლეული და ბურღულეული
"ბრიჯი დაორთქლილი ""ზოგე""",10,2.5,72,355,2.55,,1000,0,მარცვლეული და ბურღულეული
"ბრიჯი მრგვალი ""ზოგე""",10,2.5,72,355,1.95,,500.0,0,მარცვლეული და ბურღულეული
"წიწიბურა ""ზოგე""",13,3.4,70,343,2.05,,1000,0,მარცვლეული და ბურღულეული
"წიწიბურა ""ალტაისკაია სკაზა""",13,3.4,70,343,3.95,,800.0,0,მარცვლეული და ბურღულეული
"ლობიო ""ზოგე""",8.7,0.5,22,127,4.9,,1000,0,მარცვლეული და ბურღულეული
"ლობიო გურულა ""ზოგე""",8.7,0.5,22,127,6.85,,800.0,0,მარცვლეული და ბურღულეული
"კუსკუსი ""ნატურალსი""",10,2.5,72,355,5.5,,350.0,0,მარცვლეული და ბურღულეული
"ოსპი ""ზოგე""",10,2.5,72,355,4.5,,800.0,0,მარცვლეული და ბურღულეული
"ბარდა ""ალტაისკაია სკაზა""",10,2.5,72,355,2.55,,800.0,0,მარცვლეული და ბურღულეული
"ჩია ""ჯეო""",10,2.5,72,355,3.2,,80.0,0,მარცვლეული და ბურღულეული
"სელი ""ჯეო""",10,2.5,72,355,2.2,,80.0,0,მარცვლეული და ბურღულეული
"ფანტელი სიმინდის ""ვიტბა""",1.5,0.2,78.0,360.0,3.95,,350.0,0,ფანტელი და მიუსელი
"ფანტელი შვრიის ""სოლნიშკო""",7.0,1.2,60.0,380.0,3.35,,500.0,0,ფანტელი და მიუსელი
"ფანტელი შვრიის ""სოლნიშკო"" ქლიავით",6.0,0.9,60.0,360.0,1.25,,45.0,0,ფანტელი და მიუსელი
"ფანტელი შვრიის ""სოლნიშკო"" ალუბლის",5.0,0.9,67.0,360.0,1.25,,45.0,0,ფანტელი და მიუსელი
"ფანტელი შვრიის ""სოლნიშკო""",7.0,1.2,60.0,380.0,3.6,,350.0,0,ფანტელი და მიუსელი
"ფანტელი შვრიის ""კრუპნო""",6.0,0.0,59.0,360.0,2.85,,500.0,0,ფანტელი და მიუსელი
"ფანტელი შვრიის ""სოლნიშკო"" 5 მარცვალი",3.0,0.57,63.0,340.0,3.95,,400.0,0,ფანტელი და მიუსელი
"ფანტელი შვრიის ""სოლნიშკო"" გარგარი",5.5,0.9,58.0,350.0,4.95,,300.0,0,ფანტელი და მიუსელი
"ფანტელი შვრიის ""სოლნიშკო"" ქლიავით",6.0,0.9,60.0,360.0,4.95,,300.0,0,ფანტელი და მიუსელი
"მზა საუზმე ""აქსა"" ხრაშუნა ბატონი შოკოლადით მარწყვი იოგურტი",10.8,7.4,67.6,365.3,1.5,,25.0,0,ფანტელი და მიუსელი
"მზა საუზმე ""აქსა"" ხრაშუნა ბატონი შოკოლადით და თხილით",18.4,8.7,58.7,436.0,0.99,,25.0,0,ფანტელი და მიუსელი
"მიუსლი ""სტარტი"" გარგარის ჩირი და ქიშმიში",9.64,5.4,63.54,384.0,8.65,,375.0,0,ფანტელი და მიუსელი
"მიუსლი ""აქსა"" თაფლი და კენკრა",13.5,8.2,63.1,395.9,7.95,,330.0,0,ფანტელი და მიუსელი
"მიუსლი ""კრუპნო"" კენკრით",5.0,0.8,62.0,340.0,2.95,,300.0,0,ფანტელი და მიუსელი
"ფანტელი წიწიბურის ""კრუპნო""",2.0,0.7,69.0,340.0,3.5,,400.0,0,ფანტელი და მიუსელი
"ფანტელი შვრიის ""სოლნიშკო"" კლასიკური",7.0,1.2,60.0,380.0,2.65,,325.0,0,ფანტელი და მიუსელი
"მიუსლი ""აქსა"" თაფლი და კენკრა",13.5,8.2,63.1,395.9,3.75,,150.0,0,ფანტელი და მიუსელი
"მიუსლი ""კრუპნო"" ხილით",2.5,0.8,66.0,320.0,4.1,,300.0,0,ფანტელი და მიუსელი
"ვანილი ""იამუნია""",8,1,75,350,0.4,,2.0,0,საცხობი საშუალებები
"გასაფხვიერებელი ცომის ""იამუნია""",8,1,75,350,0.55,,18.0,0,საცხობი საშუალებები
"ვანილი ""კენტი""",8,1,75,350,0.25,,5.0,0,საცხობი საშუალებები
"საფუარი მშრალი ""იუვა""",8,1,75,350,1.45,,80.0,0,საცხობი საშუალებები
"ლიმონმჟავა ""იამუნია""",8,1,75,350,1.2,,20.0,0,საცხობი საშუალებები
"ჟელატინი ""იამუნია""",8,1,75,350,2.1,,15.0,0,საცხობი საშუალებები
სოდა საკვები,8,1,75,350,1.5,,500.0,0,საცხობი საშუალებები
"სანელებლები დარიჩინი ""იამუნა"" დაფქვილი",8,1,75,350,1.65,,15.0,0,საცხობი საშუალებები
"სახამებელი კარტოფილის ""იამუნია""",2,0.1,17.5,77,3.55,,200.0,0,საცხობი საშუალებები
